predict case 0 , predict result/given label= 0.871597/1
predict case 1 , predict result/given label= 0.828985/1
predict case 2 , predict result/given label= 0.509151/1
predict case 3 , predict result/given label= 0.611722/1
predict case 4 , predict result/given label= 0.924966/1
predict case 5 , predict result/given label= 0.663613/1
predict case 6 , predict result/given label= 0.879044/1
predict case 7 , predict result/given label= 0.622909/1
predict case 8 , predict result/given label= 0.383352/1
predict case 9 , predict result/given label= 0.889107/1
predict case 10 , predict result/given label= 0.357738/1
predict case 11 , predict result/given label= 0.931968/1
predict case 12 , predict result/given label= 0.724656/1
predict case 13 , predict result/given label= 0.779028/1
predict case 14 , predict result/given label= 0.922921/1
predict case 15 , predict result/given label= 0.928721/1
predict case 16 , predict result/given label= 0.871619/1
predict case 17 , predict result/given label= 0.389293/1
predict case 18 , predict result/given label= 0.450322/1
predict case 19 , predict result/given label= 0.879142/1
predict case 20 , predict result/given label= 0.282115/1
predict case 21 , predict result/given label= 0.894169/1
predict case 22 , predict result/given label= 0.910054/1
predict case 23 , predict result/given label= 0.708962/1
predict case 24 , predict result/given label= 0.795710/1
predict case 25 , predict result/given label= 0.684416/1
predict case 26 , predict result/given label= 0.284608/1
predict case 27 , predict result/given label= 0.925987/1
predict case 28 , predict result/given label= 0.540879/1
predict case 29 , predict result/given label= 0.163998/1
predict case 30 , predict result/given label= 0.317848/1
predict case 31 , predict result/given label= 0.925398/1
predict case 32 , predict result/given label= 0.543812/1
predict case 33 , predict result/given label= 0.829119/1
predict case 34 , predict result/given label= 0.858961/1
predict case 35 , predict result/given label= 0.296721/1
predict case 36 , predict result/given label= 0.484457/1
predict case 37 , predict result/given label= 0.781518/1
predict case 38 , predict result/given label= 0.542573/1
predict case 39 , predict result/given label= 0.930529/1
predict case 40 , predict result/given label= 0.163998/1
predict case 41 , predict result/given label= 0.163998/1
predict case 42 , predict result/given label= 0.814935/1
predict case 43 , predict result/given label= 0.912919/1
predict case 44 , predict result/given label= 0.908266/1
predict case 45 , predict result/given label= 0.637317/1
predict case 46 , predict result/given label= 0.351728/1
predict case 47 , predict result/given label= 0.567332/1
predict case 48 , predict result/given label= 0.703996/1
predict case 49 , predict result/given label= 0.252464/1
predict case 50 , predict result/given label= 0.925173/1
predict case 51 , predict result/given label= 0.453717/1
predict case 52 , predict result/given label= 0.826962/1
predict case 53 , predict result/given label= 0.935572/1
predict case 54 , predict result/given label= 0.396880/1
predict case 55 , predict result/given label= 0.261010/1
predict case 56 , predict result/given label= 0.361720/1
predict case 57 , predict result/given label= 0.885373/1
predict case 58 , predict result/given label= 0.490791/1
predict case 59 , predict result/given label= 0.500965/1
predict case 60 , predict result/given label= 0.932932/1
predict case 61 , predict result/given label= 0.932187/1
predict case 62 , predict result/given label= 0.933965/1
predict case 63 , predict result/given label= 0.933266/1
predict case 64 , predict result/given label= 0.925944/1
predict case 65 , predict result/given label= 0.738754/1
predict case 66 , predict result/given label= 0.852302/1
predict case 67 , predict result/given label= 0.259893/1
predict case 68 , predict result/given label= 0.903249/1
predict case 69 , predict result/given label= 0.602355/1
predict case 70 , predict result/given label= 0.927225/1
predict case 71 , predict result/given label= 0.910293/1
predict case 72 , predict result/given label= 0.831749/1
predict case 73 , predict result/given label= 0.603185/1
predict case 74 , predict result/given label= 0.926565/1
predict case 75 , predict result/given label= 0.328987/1
predict case 76 , predict result/given label= 0.904362/1
predict case 77 , predict result/given label= 0.342898/1
predict case 78 , predict result/given label= 0.921222/1
predict case 79 , predict result/given label= 0.306886/1
predict case 80 , predict result/given label= 0.468245/1
predict case 81 , predict result/given label= 0.346859/1
predict case 82 , predict result/given label= 0.843011/1
predict case 83 , predict result/given label= 0.886364/1
predict case 84 , predict result/given label= 0.708962/1
predict case 85 , predict result/given label= 0.872848/1
predict case 86 , predict result/given label= 0.248657/1
predict case 87 , predict result/given label= 0.296852/1
predict case 88 , predict result/given label= 0.513076/1
predict case 89 , predict result/given label= 0.870260/1
predict case 90 , predict result/given label= 0.682863/1
predict case 91 , predict result/given label= 0.355039/1
predict case 92 , predict result/given label= 0.909049/1
predict case 93 , predict result/given label= 0.469889/1
predict case 94 , predict result/given label= 0.290948/1
predict case 95 , predict result/given label= 0.922005/1
predict case 96 , predict result/given label= 0.874157/1
predict case 97 , predict result/given label= 0.873535/1
predict case 98 , predict result/given label= 0.935304/1
predict case 99 , predict result/given label= 0.934047/1
predict case 100 , predict result/given label= 0.394192/1
predict case 101 , predict result/given label= 0.446162/1
predict case 102 , predict result/given label= 0.389641/1
predict case 103 , predict result/given label= 0.554334/1
predict case 104 , predict result/given label= 0.859606/1
predict case 105 , predict result/given label= 0.224167/1
predict case 106 , predict result/given label= 0.708962/1
predict case 107 , predict result/given label= 0.893262/1
predict case 108 , predict result/given label= 0.932737/1
predict case 109 , predict result/given label= 0.932683/1
predict case 110 , predict result/given label= 0.354163/1
predict case 111 , predict result/given label= 0.815630/1
predict case 112 , predict result/given label= 0.355322/1
predict case 113 , predict result/given label= 0.649314/1
predict case 114 , predict result/given label= 0.265557/1
predict case 115 , predict result/given label= 0.643691/1
predict case 116 , predict result/given label= 0.926805/1
predict case 117 , predict result/given label= 0.931834/1
predict case 118 , predict result/given label= 0.708962/1
predict case 119 , predict result/given label= 0.608670/1
predict case 120 , predict result/given label= 0.444100/1
predict case 121 , predict result/given label= 0.280407/1
predict case 122 , predict result/given label= 0.455331/1
predict case 123 , predict result/given label= 0.472921/1
predict case 124 , predict result/given label= 0.295446/1
predict case 125 , predict result/given label= 0.380242/1
predict case 126 , predict result/given label= 0.430697/1
predict case 127 , predict result/given label= 0.305123/1
predict case 128 , predict result/given label= 0.516651/1
predict case 129 , predict result/given label= 0.925042/1
predict case 130 , predict result/given label= 0.713562/1
predict case 131 , predict result/given label= 0.370518/1
predict case 132 , predict result/given label= 0.374577/1
predict case 133 , predict result/given label= 0.604747/1
predict case 134 , predict result/given label= 0.360844/1
predict case 135 , predict result/given label= 0.281067/1
predict case 136 , predict result/given label= 0.814331/1
predict case 137 , predict result/given label= 0.418079/1
predict case 138 , predict result/given label= 0.833999/1
predict case 139 , predict result/given label= 0.508962/1
predict case 140 , predict result/given label= 0.302538/1
predict case 141 , predict result/given label= 0.934943/1
predict case 142 , predict result/given label= 0.264952/1
predict case 143 , predict result/given label= 0.881195/1
predict case 144 , predict result/given label= 0.803315/1
predict case 145 , predict result/given label= 0.139225/1
predict case 146 , predict result/given label= 0.916289/1
predict case 147 , predict result/given label= 0.382758/1
predict case 148 , predict result/given label= 0.290485/1
predict case 149 , predict result/given label= 0.779988/1
predict case 150 , predict result/given label= 0.574332/1
predict case 151 , predict result/given label= 0.577228/1
predict case 152 , predict result/given label= 0.921785/1
predict case 153 , predict result/given label= 0.924568/1
predict case 154 , predict result/given label= 0.926463/1
predict case 155 , predict result/given label= 0.401243/1
predict case 156 , predict result/given label= 0.667911/1
predict case 157 , predict result/given label= 0.276100/1
predict case 158 , predict result/given label= 0.351740/1
predict case 159 , predict result/given label= 0.569547/1
predict case 160 , predict result/given label= 0.294060/1
predict case 161 , predict result/given label= 0.925193/1
predict case 162 , predict result/given label= 0.290900/1
predict case 163 , predict result/given label= 0.816111/1
predict case 164 , predict result/given label= 0.693107/1
predict case 165 , predict result/given label= 0.708962/1
predict case 166 , predict result/given label= 0.374513/1
predict case 167 , predict result/given label= 0.643337/1
predict case 168 , predict result/given label= 0.357602/1
predict case 169 , predict result/given label= 0.430161/1
predict case 170 , predict result/given label= 0.865013/1
predict case 171 , predict result/given label= 0.385146/1
predict case 172 , predict result/given label= 0.849966/1
predict case 173 , predict result/given label= 0.471692/1
predict case 174 , predict result/given label= 0.339082/1
predict case 175 , predict result/given label= 0.934613/1
predict case 176 , predict result/given label= 0.704411/1
predict case 177 , predict result/given label= 0.930667/1
predict case 178 , predict result/given label= 0.925208/1
predict case 179 , predict result/given label= 0.301575/1
predict case 180 , predict result/given label= 0.573621/1
predict case 181 , predict result/given label= 0.851063/1
predict case 182 , predict result/given label= 0.935242/1
predict case 183 , predict result/given label= 0.818648/1
predict case 184 , predict result/given label= 0.817050/1
predict case 185 , predict result/given label= 0.930982/1
predict case 186 , predict result/given label= 0.591769/1
predict case 187 , predict result/given label= 0.929402/1
predict case 188 , predict result/given label= 0.634938/1
predict case 189 , predict result/given label= 0.356577/1
predict case 190 , predict result/given label= 0.935576/1
predict case 191 , predict result/given label= 0.777331/1
predict case 192 , predict result/given label= 0.910059/1
predict case 193 , predict result/given label= 0.604617/1
predict case 194 , predict result/given label= 0.790205/1
predict case 195 , predict result/given label= 0.269312/1
predict case 196 , predict result/given label= 0.924227/1
predict case 197 , predict result/given label= 0.524017/1
predict case 198 , predict result/given label= 0.383000/1
predict case 199 , predict result/given label= 0.933195/1
predict case 200 , predict result/given label= 0.355230/1
predict case 201 , predict result/given label= 0.444417/1
predict case 202 , predict result/given label= 0.637221/1
predict case 203 , predict result/given label= 0.509119/1
predict case 204 , predict result/given label= 0.873387/1
predict case 205 , predict result/given label= 0.844206/1
predict case 206 , predict result/given label= 0.444035/1
predict case 207 , predict result/given label= 0.484354/1
predict case 208 , predict result/given label= 0.927459/1
predict case 209 , predict result/given label= 0.702143/1
