predict case 0 , predict result/given label= 0.921556/1
predict case 1 , predict result/given label= 0.870329/1
predict case 2 , predict result/given label= 0.900755/1
predict case 3 , predict result/given label= 0.355516/1
predict case 4 , predict result/given label= 0.399162/1
predict case 5 , predict result/given label= 0.933298/1
predict case 6 , predict result/given label= 0.718855/1
predict case 7 , predict result/given label= 0.373322/1
predict case 8 , predict result/given label= 0.917906/1
predict case 9 , predict result/given label= 0.331100/1
predict case 10 , predict result/given label= 0.839137/1
predict case 11 , predict result/given label= 0.786147/1
predict case 12 , predict result/given label= 0.895904/1
predict case 13 , predict result/given label= 0.403509/1
predict case 14 , predict result/given label= 0.770765/1
predict case 15 , predict result/given label= 0.901783/1
predict case 16 , predict result/given label= 0.797993/1
predict case 17 , predict result/given label= 0.932853/1
predict case 18 , predict result/given label= 0.771820/1
predict case 19 , predict result/given label= 0.932767/1
predict case 20 , predict result/given label= 0.280294/1
predict case 21 , predict result/given label= 0.903994/1
predict case 22 , predict result/given label= 0.277876/1
predict case 23 , predict result/given label= 0.268700/1
predict case 24 , predict result/given label= 0.866961/1
predict case 25 , predict result/given label= 0.913132/1
predict case 26 , predict result/given label= 0.926414/1
predict case 27 , predict result/given label= 0.740023/1
predict case 28 , predict result/given label= 0.738045/1
predict case 29 , predict result/given label= 0.518415/1
predict case 30 , predict result/given label= 0.225930/1
predict case 31 , predict result/given label= 0.398600/1
predict case 32 , predict result/given label= 0.722369/1
predict case 33 , predict result/given label= 0.936061/1
predict case 34 , predict result/given label= 0.286693/1
predict case 35 , predict result/given label= 0.835542/1
predict case 36 , predict result/given label= 0.785056/1
predict case 37 , predict result/given label= 0.549848/1
predict case 38 , predict result/given label= 0.467398/1
predict case 39 , predict result/given label= 0.308067/1
predict case 40 , predict result/given label= 0.326657/1
predict case 41 , predict result/given label= 0.292044/1
predict case 42 , predict result/given label= 0.917237/1
predict case 43 , predict result/given label= 0.904924/1
predict case 44 , predict result/given label= 0.736790/1
predict case 45 , predict result/given label= 0.390952/1
predict case 46 , predict result/given label= 0.927692/1
predict case 47 , predict result/given label= 0.924855/1
predict case 48 , predict result/given label= 0.663870/1
predict case 49 , predict result/given label= 0.188863/1
predict case 50 , predict result/given label= 0.684900/1
predict case 51 , predict result/given label= 0.412652/1
predict case 52 , predict result/given label= 0.890372/1
predict case 53 , predict result/given label= 0.330158/1
predict case 54 , predict result/given label= 0.839260/1
predict case 55 , predict result/given label= 0.801583/1
predict case 56 , predict result/given label= 0.927764/1
predict case 57 , predict result/given label= 0.331100/1
predict case 58 , predict result/given label= 0.331100/1
predict case 59 , predict result/given label= 0.770745/1
predict case 60 , predict result/given label= 0.554100/1
predict case 61 , predict result/given label= 0.564937/1
predict case 62 , predict result/given label= 0.452090/1
predict case 63 , predict result/given label= 0.739723/1
predict case 64 , predict result/given label= 0.925255/1
predict case 65 , predict result/given label= 0.792228/1
predict case 66 , predict result/given label= 0.485895/1
predict case 67 , predict result/given label= 0.575798/1
predict case 68 , predict result/given label= 0.364555/1
predict case 69 , predict result/given label= 0.621516/1
predict case 70 , predict result/given label= 0.356615/1
predict case 71 , predict result/given label= 0.277876/1
