predict case 0 , predict result/given label= 0.924637/1
predict case 1 , predict result/given label= 0.478116/1
predict case 2 , predict result/given label= 0.726027/1
predict case 3 , predict result/given label= 0.353116/1
predict case 4 , predict result/given label= 0.754326/1
predict case 5 , predict result/given label= 0.744453/1
predict case 6 , predict result/given label= 0.691835/1
predict case 7 , predict result/given label= 0.758620/1
predict case 8 , predict result/given label= 0.930034/1
predict case 9 , predict result/given label= 0.927435/1
predict case 10 , predict result/given label= 0.644881/1
predict case 11 , predict result/given label= 0.732787/1
predict case 12 , predict result/given label= 0.935005/1
predict case 13 , predict result/given label= 0.267026/1
predict case 14 , predict result/given label= 0.934049/1
predict case 15 , predict result/given label= 0.926262/1
predict case 16 , predict result/given label= 0.275034/1
predict case 17 , predict result/given label= 0.814282/1
predict case 18 , predict result/given label= 0.928934/1
predict case 19 , predict result/given label= 0.783553/1
predict case 20 , predict result/given label= 0.860957/1
predict case 21 , predict result/given label= 0.486080/1
predict case 22 , predict result/given label= 0.478788/1
predict case 23 , predict result/given label= 0.860138/1
predict case 24 , predict result/given label= 0.924462/1
predict case 25 , predict result/given label= 0.914963/1
predict case 26 , predict result/given label= 0.924222/1
predict case 27 , predict result/given label= 0.929343/1
predict case 28 , predict result/given label= 0.821360/1
predict case 29 , predict result/given label= 0.412426/1
predict case 30 , predict result/given label= 0.644881/1
predict case 31 , predict result/given label= 0.644881/1
predict case 32 , predict result/given label= 0.932530/1
predict case 33 , predict result/given label= 0.270510/1
predict case 34 , predict result/given label= 0.607915/1
predict case 35 , predict result/given label= 0.555792/1
predict case 36 , predict result/given label= 0.832030/1
predict case 37 , predict result/given label= 0.280497/1
predict case 38 , predict result/given label= 0.828441/1
predict case 39 , predict result/given label= 0.297368/1
predict case 40 , predict result/given label= 0.744357/1
predict case 41 , predict result/given label= 0.481663/1
predict case 42 , predict result/given label= 0.501321/1
predict case 43 , predict result/given label= 0.651732/1
predict case 44 , predict result/given label= 0.928102/1
predict case 45 , predict result/given label= 0.829867/1
predict case 46 , predict result/given label= 0.609315/1
predict case 47 , predict result/given label= 0.542318/1
predict case 48 , predict result/given label= 0.917415/1
predict case 49 , predict result/given label= 0.754450/1
predict case 50 , predict result/given label= 0.277253/1
predict case 51 , predict result/given label= 0.740379/1
predict case 52 , predict result/given label= 0.914612/1
predict case 53 , predict result/given label= 0.644881/1
predict case 54 , predict result/given label= 0.161445/1
predict case 55 , predict result/given label= 0.644881/1
predict case 56 , predict result/given label= 0.238892/1
predict case 57 , predict result/given label= 0.707186/1
predict case 58 , predict result/given label= 0.428277/1
predict case 59 , predict result/given label= 0.367352/1
predict case 60 , predict result/given label= 0.934976/1
predict case 61 , predict result/given label= 0.871198/1
predict case 62 , predict result/given label= 0.901349/1
predict case 63 , predict result/given label= 0.592204/1
predict case 64 , predict result/given label= 0.926917/1
predict case 65 , predict result/given label= 0.909306/1
predict case 66 , predict result/given label= 0.386530/1
predict case 67 , predict result/given label= 0.678420/1
predict case 68 , predict result/given label= 0.854447/1
predict case 69 , predict result/given label= 0.562880/1
predict case 70 , predict result/given label= 0.161445/1
predict case 71 , predict result/given label= 0.795920/1
predict case 72 , predict result/given label= 0.929093/1
predict case 73 , predict result/given label= 0.925136/1
predict case 74 , predict result/given label= 0.795444/1
