predict case 0 , predict result/given label= 0.827373/1
predict case 1 , predict result/given label= 0.644827/1
predict case 2 , predict result/given label= 0.636919/1
predict case 3 , predict result/given label= 0.688196/1
predict case 4 , predict result/given label= 0.825389/1
predict case 5 , predict result/given label= 0.732967/1
predict case 6 , predict result/given label= 0.682803/1
predict case 7 , predict result/given label= 0.259739/1
predict case 8 , predict result/given label= 0.905005/1
predict case 9 , predict result/given label= 0.732607/1
predict case 10 , predict result/given label= 0.206483/1
predict case 11 , predict result/given label= 0.903146/1
predict case 12 , predict result/given label= 0.607293/1
predict case 13 , predict result/given label= 0.922475/1
predict case 14 , predict result/given label= 0.878538/1
predict case 15 , predict result/given label= 0.572246/1
predict case 16 , predict result/given label= 0.518581/1
predict case 17 , predict result/given label= 0.612659/1
predict case 18 , predict result/given label= 0.703791/1
predict case 19 , predict result/given label= 0.316143/1
predict case 20 , predict result/given label= 0.525435/1
predict case 21 , predict result/given label= 0.888162/1
predict case 22 , predict result/given label= 0.725710/1
predict case 23 , predict result/given label= 0.454305/1
predict case 24 , predict result/given label= 0.464821/1
predict case 25 , predict result/given label= 0.234713/1
predict case 26 , predict result/given label= 0.918968/1
predict case 27 , predict result/given label= 0.483647/1
predict case 28 , predict result/given label= 0.755147/1
predict case 29 , predict result/given label= 0.482500/1
predict case 30 , predict result/given label= 0.279977/1
predict case 31 , predict result/given label= 0.860418/1
predict case 32 , predict result/given label= 0.926278/1
predict case 33 , predict result/given label= 0.500237/1
predict case 34 , predict result/given label= 0.479156/1
predict case 35 , predict result/given label= 0.591696/1
predict case 36 , predict result/given label= 0.819387/1
predict case 37 , predict result/given label= 0.894837/1
predict case 38 , predict result/given label= 0.873477/1
predict case 39 , predict result/given label= 0.776490/1
predict case 40 , predict result/given label= 0.315729/1
predict case 41 , predict result/given label= 0.772999/1
predict case 42 , predict result/given label= 0.345830/1
predict case 43 , predict result/given label= 0.319856/1
predict case 44 , predict result/given label= 0.539625/1
predict case 45 , predict result/given label= 0.497143/1
predict case 46 , predict result/given label= 0.436797/1
predict case 47 , predict result/given label= 0.467690/1
predict case 48 , predict result/given label= 0.660826/1
predict case 49 , predict result/given label= 0.580496/1
predict case 50 , predict result/given label= 0.483583/1
predict case 51 , predict result/given label= 0.926425/1
predict case 52 , predict result/given label= 0.641978/1
predict case 53 , predict result/given label= 0.484249/1
predict case 54 , predict result/given label= 0.908768/1
predict case 55 , predict result/given label= 0.280959/1
predict case 56 , predict result/given label= 0.479290/1
predict case 57 , predict result/given label= 0.865987/1
predict case 58 , predict result/given label= 0.618018/1
predict case 59 , predict result/given label= 0.900746/1
predict case 60 , predict result/given label= 0.902524/1
predict case 61 , predict result/given label= 0.372978/1
predict case 62 , predict result/given label= 0.357770/1
predict case 63 , predict result/given label= 0.288573/1
predict case 64 , predict result/given label= 0.666492/1
predict case 65 , predict result/given label= 0.559571/1
predict case 66 , predict result/given label= 0.547273/1
predict case 67 , predict result/given label= 0.856032/1
predict case 68 , predict result/given label= 0.790534/1
predict case 69 , predict result/given label= 0.357225/1
predict case 70 , predict result/given label= 0.915228/1
predict case 71 , predict result/given label= 0.386840/1
predict case 72 , predict result/given label= 0.447487/1
predict case 73 , predict result/given label= 0.078266/1
predict case 74 , predict result/given label= 0.194265/1
predict case 75 , predict result/given label= 0.303819/1
predict case 76 , predict result/given label= 0.401587/1
predict case 77 , predict result/given label= 0.164968/1
predict case 78 , predict result/given label= 0.888807/1
predict case 79 , predict result/given label= 0.140288/1
predict case 80 , predict result/given label= 0.845963/1
predict case 81 , predict result/given label= 0.528628/1
predict case 82 , predict result/given label= 0.389266/1
predict case 83 , predict result/given label= 0.398213/1
predict case 84 , predict result/given label= 0.387036/1
predict case 85 , predict result/given label= 0.584752/1
predict case 86 , predict result/given label= 0.672935/1
predict case 87 , predict result/given label= 0.833554/1
predict case 88 , predict result/given label= 0.923622/1
predict case 89 , predict result/given label= 0.880231/1
predict case 90 , predict result/given label= 0.357839/1
predict case 91 , predict result/given label= 0.304478/1
predict case 92 , predict result/given label= 0.438509/1
predict case 93 , predict result/given label= 0.160875/1
predict case 94 , predict result/given label= 0.915788/1
predict case 95 , predict result/given label= 0.926352/1
predict case 96 , predict result/given label= 0.740559/1
predict case 97 , predict result/given label= 0.849289/1
predict case 98 , predict result/given label= 0.612247/1
predict case 99 , predict result/given label= 0.597432/1
predict case 100 , predict result/given label= 0.487777/1
predict case 101 , predict result/given label= 0.366233/1
predict case 102 , predict result/given label= 0.767554/1
predict case 103 , predict result/given label= 0.275575/1
predict case 104 , predict result/given label= 0.872955/1
predict case 105 , predict result/given label= 0.847183/1
predict case 106 , predict result/given label= 0.572536/1
predict case 107 , predict result/given label= 0.556465/1
predict case 108 , predict result/given label= 0.297198/1
predict case 109 , predict result/given label= 0.494243/1
predict case 110 , predict result/given label= 0.846555/1
predict case 111 , predict result/given label= 0.522069/1
predict case 112 , predict result/given label= 0.195324/1
predict case 113 , predict result/given label= 0.406982/1
predict case 114 , predict result/given label= 0.609835/1
predict case 115 , predict result/given label= 0.810474/1
predict case 116 , predict result/given label= 0.863815/1
predict case 117 , predict result/given label= 0.826850/1
predict case 118 , predict result/given label= 0.699377/1
predict case 119 , predict result/given label= 0.765397/1
predict case 120 , predict result/given label= 0.313663/1
predict case 121 , predict result/given label= 0.922602/1
predict case 122 , predict result/given label= 0.492447/1
predict case 123 , predict result/given label= 0.579364/1
predict case 124 , predict result/given label= 0.612274/1
predict case 125 , predict result/given label= 0.901503/1
predict case 126 , predict result/given label= 0.755916/1
predict case 127 , predict result/given label= 0.606961/1
predict case 128 , predict result/given label= 0.863347/1
predict case 129 , predict result/given label= 0.802410/1
predict case 130 , predict result/given label= 0.089209/1
predict case 131 , predict result/given label= 0.836065/1
predict case 132 , predict result/given label= 0.191449/1
predict case 133 , predict result/given label= 0.528287/1
