predict case 0 , predict result/given label= 0.712163/1
predict case 1 , predict result/given label= 0.757600/1
predict case 2 , predict result/given label= 0.916833/1
predict case 3 , predict result/given label= 0.828208/1
predict case 4 , predict result/given label= 0.355466/1
predict case 5 , predict result/given label= 0.547256/1
predict case 6 , predict result/given label= 0.883065/1
predict case 7 , predict result/given label= 0.499763/1
predict case 8 , predict result/given label= 0.340007/1
predict case 9 , predict result/given label= 0.802322/1
predict case 10 , predict result/given label= 0.774813/1
predict case 11 , predict result/given label= 0.845001/1
predict case 12 , predict result/given label= 0.578305/1
predict case 13 , predict result/given label= 0.524629/1
predict case 14 , predict result/given label= 0.676461/1
predict case 15 , predict result/given label= 0.220864/1
predict case 16 , predict result/given label= 0.890329/1
predict case 17 , predict result/given label= 0.328771/1
predict case 18 , predict result/given label= 0.613555/1
predict case 19 , predict result/given label= 0.726394/1
predict case 20 , predict result/given label= 0.589823/1
predict case 21 , predict result/given label= 0.750369/1
predict case 22 , predict result/given label= 0.461631/1
predict case 23 , predict result/given label= 0.730742/1
predict case 24 , predict result/given label= 0.628081/1
predict case 25 , predict result/given label= 0.439966/1
predict case 26 , predict result/given label= 0.617843/1
predict case 27 , predict result/given label= 0.920524/1
predict case 28 , predict result/given label= 0.384469/1
predict case 29 , predict result/given label= 0.624104/1
predict case 30 , predict result/given label= 0.885790/1
predict case 31 , predict result/given label= 0.280273/1
predict case 32 , predict result/given label= 0.719807/1
predict case 33 , predict result/given label= 0.353467/1
predict case 34 , predict result/given label= 0.616586/1
predict case 35 , predict result/given label= 0.418326/1
predict case 36 , predict result/given label= 0.266086/1
predict case 37 , predict result/given label= 0.835725/1
predict case 38 , predict result/given label= 0.559883/1
predict case 39 , predict result/given label= 0.156660/1
predict case 40 , predict result/given label= 0.506962/1
predict case 41 , predict result/given label= 0.893490/1
predict case 42 , predict result/given label= 0.603705/1
predict case 43 , predict result/given label= 0.332341/1
predict case 44 , predict result/given label= 0.563188/1
predict case 45 , predict result/given label= 0.360586/1
predict case 46 , predict result/given label= 0.847461/1
predict case 47 , predict result/given label= 0.857192/1
predict case 48 , predict result/given label= 0.589356/1
predict case 49 , predict result/given label= 0.518755/1
predict case 50 , predict result/given label= 0.578233/1
predict case 51 , predict result/given label= 0.450399/1
predict case 52 , predict result/given label= 0.406178/1
predict case 53 , predict result/given label= 0.367804/1
predict case 54 , predict result/given label= 0.249663/1
predict case 55 , predict result/given label= 0.442089/1
predict case 56 , predict result/given label= 0.882781/1
predict case 57 , predict result/given label= 0.524668/1
predict case 58 , predict result/given label= 0.748467/1
predict case 59 , predict result/given label= 0.588421/1
predict case 60 , predict result/given label= 0.434208/1
predict case 61 , predict result/given label= 0.836168/1
predict case 62 , predict result/given label= 0.369622/1
predict case 63 , predict result/given label= 0.508699/1
predict case 64 , predict result/given label= 0.694166/1
predict case 65 , predict result/given label= 0.700116/1
predict case 66 , predict result/given label= 0.292802/1
predict case 67 , predict result/given label= 0.308488/1
predict case 68 , predict result/given label= 0.671120/1
predict case 69 , predict result/given label= 0.460401/1
predict case 70 , predict result/given label= 0.242234/1
predict case 71 , predict result/given label= 0.532306/1
predict case 72 , predict result/given label= 0.370643/1
predict case 73 , predict result/given label= 0.561134/1
predict case 74 , predict result/given label= 0.841063/1
predict case 75 , predict result/given label= 0.455205/1
predict case 76 , predict result/given label= 0.419857/1
predict case 77 , predict result/given label= 0.654430/1
predict case 78 , predict result/given label= 0.458691/1
predict case 79 , predict result/given label= 0.277781/1
predict case 80 , predict result/given label= 0.553977/1
predict case 81 , predict result/given label= 0.699571/1
predict case 82 , predict result/given label= 0.874339/1
predict case 83 , predict result/given label= 0.180763/1
predict case 84 , predict result/given label= 0.452908/1
predict case 85 , predict result/given label= 0.604792/1
predict case 86 , predict result/given label= 0.471795/1
predict case 87 , predict result/given label= 0.395186/1
predict case 88 , predict result/given label= 0.772722/1
predict case 89 , predict result/given label= 0.766329/1
predict case 90 , predict result/given label= 0.311071/1
predict case 91 , predict result/given label= 0.755468/1
predict case 92 , predict result/given label= 0.629375/1
predict case 93 , predict result/given label= 0.875685/1
predict case 94 , predict result/given label= 0.919921/1
predict case 95 , predict result/given label= 0.589412/1
predict case 96 , predict result/given label= 0.363355/1
predict case 97 , predict result/given label= 0.797303/1
predict case 98 , predict result/given label= 0.721639/1
predict case 99 , predict result/given label= 0.790091/1
predict case 100 , predict result/given label= 0.828058/1
predict case 101 , predict result/given label= 0.611475/1
predict case 102 , predict result/given label= 0.913365/1
predict case 103 , predict result/given label= 0.261317/1
predict case 104 , predict result/given label= 0.695984/1
predict case 105 , predict result/given label= 0.329089/1
predict case 106 , predict result/given label= 0.780950/1
predict case 107 , predict result/given label= 0.545700/1
predict case 108 , predict result/given label= 0.645444/1
predict case 109 , predict result/given label= 0.581783/1
predict case 110 , predict result/given label= 0.480906/1
predict case 111 , predict result/given label= 0.770836/1
predict case 112 , predict result/given label= 0.568285/1
predict case 113 , predict result/given label= 0.853757/1
predict case 114 , predict result/given label= 0.430500/1
predict case 115 , predict result/given label= 0.391559/1
predict case 116 , predict result/given label= 0.858039/1
predict case 117 , predict result/given label= 0.542547/1
predict case 118 , predict result/given label= 0.778784/1
predict case 119 , predict result/given label= 0.687272/1
predict case 120 , predict result/given label= 0.221817/1
predict case 121 , predict result/given label= 0.444842/1
predict case 122 , predict result/given label= 0.297491/1
predict case 123 , predict result/given label= 0.436785/1
predict case 124 , predict result/given label= 0.728954/1
predict case 125 , predict result/given label= 0.346916/1
predict case 126 , predict result/given label= 0.751469/1
predict case 127 , predict result/given label= 0.772785/1
predict case 128 , predict result/given label= 0.265477/1
predict case 129 , predict result/given label= 0.470171/1
predict case 130 , predict result/given label= 0.223121/1
predict case 131 , predict result/given label= 0.874995/1
predict case 132 , predict result/given label= 0.713586/1
predict case 133 , predict result/given label= 0.235213/1
predict case 134 , predict result/given label= 0.615188/1
predict case 135 , predict result/given label= 0.617574/1
predict case 136 , predict result/given label= 0.531335/1
predict case 137 , predict result/given label= 0.883859/1
predict case 138 , predict result/given label= 0.281461/1
predict case 139 , predict result/given label= 0.476405/1
predict case 140 , predict result/given label= 0.755799/1
predict case 141 , predict result/given label= 0.701351/1
predict case 142 , predict result/given label= 0.633364/1
predict case 143 , predict result/given label= 0.867763/1
predict case 144 , predict result/given label= 0.432168/1
predict case 145 , predict result/given label= 0.926828/1
predict case 146 , predict result/given label= 0.398044/1
predict case 147 , predict result/given label= 0.445043/1
predict case 148 , predict result/given label= 0.791163/1
predict case 149 , predict result/given label= 0.732187/1
predict case 150 , predict result/given label= 0.281173/1
predict case 151 , predict result/given label= 0.715056/1
predict case 152 , predict result/given label= 0.610369/1
predict case 153 , predict result/given label= 0.739196/1
predict case 154 , predict result/given label= 0.251435/1
predict case 155 , predict result/given label= 0.678970/1
predict case 156 , predict result/given label= 0.917236/1
predict case 157 , predict result/given label= 0.521685/1
predict case 158 , predict result/given label= 0.436453/1
predict case 159 , predict result/given label= 0.867499/1
predict case 160 , predict result/given label= 0.828249/1
predict case 161 , predict result/given label= 0.521300/1
predict case 162 , predict result/given label= 0.574627/1
predict case 163 , predict result/given label= 0.550271/1
predict case 164 , predict result/given label= 0.464569/1
predict case 165 , predict result/given label= 0.287072/1
predict case 166 , predict result/given label= 0.252489/1
predict case 167 , predict result/given label= 0.806511/1
predict case 168 , predict result/given label= 0.845933/1
predict case 169 , predict result/given label= 0.573080/1
predict case 170 , predict result/given label= 0.365362/1
predict case 171 , predict result/given label= 0.557007/1
predict case 172 , predict result/given label= 0.747620/1
predict case 173 , predict result/given label= 0.294444/1
predict case 174 , predict result/given label= 0.524567/1
predict case 175 , predict result/given label= 0.833422/1
