predict case 0 , predict result/given label= 0.243701/1
predict case 1 , predict result/given label= 0.921144/1
predict case 2 , predict result/given label= 0.806716/1
predict case 3 , predict result/given label= 0.392708/1
predict case 4 , predict result/given label= 0.251568/1
predict case 5 , predict result/given label= 0.641777/1
predict case 6 , predict result/given label= 0.874526/1
predict case 7 , predict result/given label= 0.509076/1
predict case 8 , predict result/given label= 0.890287/1
predict case 9 , predict result/given label= 0.828122/1
predict case 10 , predict result/given label= 0.890325/1
predict case 11 , predict result/given label= 0.352865/1
predict case 12 , predict result/given label= 0.741023/1
predict case 13 , predict result/given label= 0.298712/1
predict case 14 , predict result/given label= 0.558321/1
predict case 15 , predict result/given label= 0.383867/1
predict case 16 , predict result/given label= 0.697460/1
predict case 17 , predict result/given label= 0.711388/1
predict case 18 , predict result/given label= 0.351468/1
predict case 19 , predict result/given label= 0.538950/1
predict case 20 , predict result/given label= 0.281682/1
predict case 21 , predict result/given label= 0.607642/1
predict case 22 , predict result/given label= 0.832805/1
predict case 23 , predict result/given label= 0.917128/1
predict case 24 , predict result/given label= 0.865582/1
predict case 25 , predict result/given label= 0.868798/1
predict case 26 , predict result/given label= 0.711178/1
predict case 27 , predict result/given label= 0.605963/1
predict case 28 , predict result/given label= 0.396062/1
predict case 29 , predict result/given label= 0.861889/1
predict case 30 , predict result/given label= 0.921715/1
predict case 31 , predict result/given label= 0.725498/1
predict case 32 , predict result/given label= 0.597020/1
predict case 33 , predict result/given label= 0.379149/1
predict case 34 , predict result/given label= 0.839005/1
predict case 35 , predict result/given label= 0.861707/1
predict case 36 , predict result/given label= 0.827645/1
predict case 37 , predict result/given label= 0.370760/1
predict case 38 , predict result/given label= 0.353607/1
predict case 39 , predict result/given label= 0.932353/1
predict case 40 , predict result/given label= 0.757767/1
predict case 41 , predict result/given label= 0.925120/1
predict case 42 , predict result/given label= 0.204627/1
predict case 43 , predict result/given label= 0.244092/1
predict case 44 , predict result/given label= 0.251568/1
predict case 45 , predict result/given label= 0.697460/1
predict case 46 , predict result/given label= 0.926095/1
predict case 47 , predict result/given label= 0.832756/1
predict case 48 , predict result/given label= 0.571220/1
predict case 49 , predict result/given label= 0.292183/1
predict case 50 , predict result/given label= 0.294436/1
predict case 51 , predict result/given label= 0.930621/1
predict case 52 , predict result/given label= 0.709994/1
predict case 53 , predict result/given label= 0.546695/1
predict case 54 , predict result/given label= 0.773795/1
predict case 55 , predict result/given label= 0.932582/1
