predict case 0 , predict result/given label= 0.068380/1
predict case 1 , predict result/given label= 0.206094/1
predict case 2 , predict result/given label= 0.268218/1
predict case 3 , predict result/given label= 0.273948/1
predict case 4 , predict result/given label= 0.147870/1
predict case 5 , predict result/given label= 0.554122/1
predict case 6 , predict result/given label= 0.258287/1
predict case 7 , predict result/given label= 0.240340/1
predict case 8 , predict result/given label= 0.669225/1
predict case 9 , predict result/given label= 0.432580/1
predict case 10 , predict result/given label= 0.854243/1
predict case 11 , predict result/given label= 0.623015/1
predict case 12 , predict result/given label= 0.068127/1
predict case 13 , predict result/given label= 0.191415/1
predict case 14 , predict result/given label= 0.130659/1
predict case 15 , predict result/given label= 0.131746/1
predict case 16 , predict result/given label= 0.362553/1
predict case 17 , predict result/given label= 0.515811/1
predict case 18 , predict result/given label= 0.066193/1
predict case 19 , predict result/given label= 0.416468/1
predict case 20 , predict result/given label= 0.640848/1
predict case 21 , predict result/given label= 0.637423/1
predict case 22 , predict result/given label= 0.669225/1
predict case 23 , predict result/given label= 0.460753/1
predict case 24 , predict result/given label= 0.842452/1
predict case 25 , predict result/given label= 0.110451/1
predict case 26 , predict result/given label= 0.561900/1
predict case 27 , predict result/given label= 0.268218/1
predict case 28 , predict result/given label= 0.603736/1
predict case 29 , predict result/given label= 0.413426/1
predict case 30 , predict result/given label= 0.705962/1
predict case 31 , predict result/given label= 0.238346/1
predict case 32 , predict result/given label= 0.495648/1
predict case 33 , predict result/given label= 0.242219/1
predict case 34 , predict result/given label= 0.075075/1
predict case 35 , predict result/given label= 0.147870/1
predict case 36 , predict result/given label= 0.146244/1
predict case 37 , predict result/given label= 0.236132/1
predict case 38 , predict result/given label= 0.156206/1
predict case 39 , predict result/given label= 0.418085/1
predict case 40 , predict result/given label= 0.070336/1
predict case 41 , predict result/given label= 0.168098/1
predict case 42 , predict result/given label= 0.189336/1
predict case 43 , predict result/given label= 0.753968/1
predict case 44 , predict result/given label= 0.637423/1
predict case 45 , predict result/given label= 0.460753/1
predict case 46 , predict result/given label= 0.863179/1
predict case 47 , predict result/given label= 0.612782/1
predict case 48 , predict result/given label= 0.680480/1
predict case 49 , predict result/given label= 0.115475/1
predict case 50 , predict result/given label= 0.680682/1
predict case 51 , predict result/given label= 0.240340/1
predict case 52 , predict result/given label= 0.063294/1
predict case 53 , predict result/given label= 0.122021/1
predict case 54 , predict result/given label= 0.071456/1
predict case 55 , predict result/given label= 0.136411/1
predict case 56 , predict result/given label= 0.498269/1
predict case 57 , predict result/given label= 0.348628/1
predict case 58 , predict result/given label= 0.071456/1
predict case 59 , predict result/given label= 0.115475/1
predict case 60 , predict result/given label= 0.189336/1
predict case 61 , predict result/given label= 0.193782/1
predict case 62 , predict result/given label= 0.258287/1
predict case 63 , predict result/given label= 0.326611/1
predict case 64 , predict result/given label= 0.600643/1
predict case 65 , predict result/given label= 0.637423/1
predict case 66 , predict result/given label= 0.206094/1
predict case 67 , predict result/given label= 0.472838/1
predict case 68 , predict result/given label= 0.066193/1
predict case 69 , predict result/given label= 0.368051/1
predict case 70 , predict result/given label= 0.202876/1
predict case 71 , predict result/given label= 0.785603/1
predict case 72 , predict result/given label= 0.442167/1
predict case 73 , predict result/given label= 0.075075/1
predict case 74 , predict result/given label= 0.126065/1
predict case 75 , predict result/given label= 0.236132/1
predict case 76 , predict result/given label= 0.149622/1
predict case 77 , predict result/given label= 0.595113/1
predict case 78 , predict result/given label= 0.554122/1
predict case 79 , predict result/given label= 0.110451/1
predict case 80 , predict result/given label= 0.144050/1
predict case 81 , predict result/given label= 0.134671/1
predict case 82 , predict result/given label= 0.168098/1
predict case 83 , predict result/given label= 0.366177/1
predict case 84 , predict result/given label= 0.134671/1
predict case 85 , predict result/given label= 0.460753/1
predict case 86 , predict result/given label= 0.194920/1
predict case 87 , predict result/given label= 0.194920/1
predict case 88 , predict result/given label= 0.131746/1
predict case 89 , predict result/given label= 0.068127/1
predict case 90 , predict result/given label= 0.348628/1
predict case 91 , predict result/given label= 0.068937/1
predict case 92 , predict result/given label= 0.366177/1
predict case 93 , predict result/given label= 0.348628/1
predict case 94 , predict result/given label= 0.131746/1
predict case 95 , predict result/given label= 0.705962/1
predict case 96 , predict result/given label= 0.680682/1
predict case 97 , predict result/given label= 0.858410/1
predict case 98 , predict result/given label= 0.122021/1
predict case 99 , predict result/given label= 0.674837/1
predict case 100 , predict result/given label= 0.416468/1
predict case 101 , predict result/given label= 0.305172/1
predict case 102 , predict result/given label= 0.139556/1
predict case 103 , predict result/given label= 0.432514/1
predict case 104 , predict result/given label= 0.858410/1
predict case 105 , predict result/given label= 0.202876/1
predict case 106 , predict result/given label= 0.680682/1
predict case 107 , predict result/given label= 0.139556/1
predict case 108 , predict result/given label= 0.075075/1
predict case 109 , predict result/given label= 0.241296/1
predict case 110 , predict result/given label= 0.434039/1
predict case 111 , predict result/given label= 0.388695/1
predict case 112 , predict result/given label= 0.149622/1
predict case 113 , predict result/given label= 0.690414/1
predict case 114 , predict result/given label= 0.858410/1
predict case 115 , predict result/given label= 0.413426/1
predict case 116 , predict result/given label= 0.235368/1
predict case 117 , predict result/given label= 0.774544/1
predict case 118 , predict result/given label= 0.674837/1
predict case 119 , predict result/given label= 0.068127/1
predict case 120 , predict result/given label= 0.442167/1
predict case 121 , predict result/given label= 0.258287/1
predict case 122 , predict result/given label= 0.139556/1
predict case 123 , predict result/given label= 0.241296/1
predict case 124 , predict result/given label= 0.680682/1
predict case 125 , predict result/given label= 0.690414/1
predict case 126 , predict result/given label= 0.561900/1
predict case 127 , predict result/given label= 0.337566/1
predict case 128 , predict result/given label= 0.068127/1
predict case 129 , predict result/given label= 0.858410/1
predict case 130 , predict result/given label= 0.066203/1
predict case 131 , predict result/given label= 0.331609/1
predict case 132 , predict result/given label= 0.175872/0
predict case 133 , predict result/given label= 0.416367/0
predict case 134 , predict result/given label= 0.198562/0
predict case 135 , predict result/given label= 0.627274/0
predict case 136 , predict result/given label= 0.398802/0
predict case 137 , predict result/given label= 0.130852/0
predict case 138 , predict result/given label= 0.471245/0
predict case 139 , predict result/given label= 0.130852/0
predict case 140 , predict result/given label= 0.316314/0
predict case 141 , predict result/given label= 0.500485/0
predict case 142 , predict result/given label= 0.716407/0
predict case 143 , predict result/given label= 0.416367/0
predict case 144 , predict result/given label= 0.068361/0
predict case 145 , predict result/given label= 0.149982/0
