predict case 0 , predict result/given label= 0.829918/1
predict case 1 , predict result/given label= 0.298721/1
predict case 2 , predict result/given label= 0.475280/1
predict case 3 , predict result/given label= 0.878349/1
predict case 4 , predict result/given label= 0.736026/1
predict case 5 , predict result/given label= 0.872493/1
predict case 6 , predict result/given label= 0.517481/1
predict case 7 , predict result/given label= 0.327574/1
predict case 8 , predict result/given label= 0.200291/1
predict case 9 , predict result/given label= 0.924473/1
predict case 10 , predict result/given label= 0.724692/1
predict case 11 , predict result/given label= 0.929418/1
predict case 12 , predict result/given label= 0.267591/1
predict case 13 , predict result/given label= 0.379137/1
predict case 14 , predict result/given label= 0.444305/1
predict case 15 , predict result/given label= 0.607698/1
predict case 16 , predict result/given label= 0.930676/1
predict case 17 , predict result/given label= 0.354381/1
predict case 18 , predict result/given label= 0.440026/1
predict case 19 , predict result/given label= 0.905700/1
predict case 20 , predict result/given label= 0.348436/1
predict case 21 , predict result/given label= 0.887232/1
predict case 22 , predict result/given label= 0.451990/1
predict case 23 , predict result/given label= 0.908782/1
predict case 24 , predict result/given label= 0.872009/1
predict case 25 , predict result/given label= 0.340901/1
predict case 26 , predict result/given label= 0.889335/1
predict case 27 , predict result/given label= 0.907957/1
predict case 28 , predict result/given label= 0.826268/1
predict case 29 , predict result/given label= 0.815652/1
predict case 30 , predict result/given label= 0.891313/1
predict case 31 , predict result/given label= 0.599619/1
predict case 32 , predict result/given label= 0.898765/1
predict case 33 , predict result/given label= 0.507267/1
predict case 34 , predict result/given label= 0.390956/1
predict case 35 , predict result/given label= 0.926712/1
predict case 36 , predict result/given label= 0.376531/1
predict case 37 , predict result/given label= 0.483163/1
predict case 38 , predict result/given label= 0.272319/1
predict case 39 , predict result/given label= 0.223357/1
predict case 40 , predict result/given label= 0.348764/1
predict case 41 , predict result/given label= 0.474947/1
predict case 42 , predict result/given label= 0.484010/1
predict case 43 , predict result/given label= 0.634881/1
predict case 44 , predict result/given label= 0.425212/1
predict case 45 , predict result/given label= 0.857467/1
predict case 46 , predict result/given label= 0.611082/1
predict case 47 , predict result/given label= 0.842426/1
predict case 48 , predict result/given label= 0.771015/1
predict case 49 , predict result/given label= 0.500975/1
predict case 50 , predict result/given label= 0.895426/1
predict case 51 , predict result/given label= 0.291753/1
predict case 52 , predict result/given label= 0.924355/1
predict case 53 , predict result/given label= 0.286888/1
predict case 54 , predict result/given label= 0.778957/1
predict case 55 , predict result/given label= 0.306627/1
predict case 56 , predict result/given label= 0.873486/1
predict case 57 , predict result/given label= 0.871238/1
predict case 58 , predict result/given label= 0.280246/1
predict case 59 , predict result/given label= 0.766087/1
predict case 60 , predict result/given label= 0.842969/1
predict case 61 , predict result/given label= 0.308454/1
predict case 62 , predict result/given label= 0.642919/1
predict case 63 , predict result/given label= 0.445236/1
predict case 64 , predict result/given label= 0.471107/1
predict case 65 , predict result/given label= 0.924802/1
predict case 66 , predict result/given label= 0.420759/1
predict case 67 , predict result/given label= 0.390464/1
predict case 68 , predict result/given label= 0.336925/1
predict case 69 , predict result/given label= 0.906158/1
predict case 70 , predict result/given label= 0.377182/1
predict case 71 , predict result/given label= 0.438445/1
predict case 72 , predict result/given label= 0.481118/1
predict case 73 , predict result/given label= 0.902730/1
predict case 74 , predict result/given label= 0.557788/1
predict case 75 , predict result/given label= 0.606854/1
predict case 76 , predict result/given label= 0.663905/1
predict case 77 , predict result/given label= 0.926468/1
predict case 78 , predict result/given label= 0.311031/1
predict case 79 , predict result/given label= 0.794856/1
predict case 80 , predict result/given label= 0.890637/1
predict case 81 , predict result/given label= 0.332978/1
predict case 82 , predict result/given label= 0.918258/1
predict case 83 , predict result/given label= 0.918036/1
predict case 84 , predict result/given label= 0.906388/1
predict case 85 , predict result/given label= 0.489215/1
predict case 86 , predict result/given label= 0.418844/1
predict case 87 , predict result/given label= 0.186356/1
predict case 88 , predict result/given label= 0.864597/1
predict case 89 , predict result/given label= 0.343485/1
predict case 90 , predict result/given label= 0.601733/1
predict case 91 , predict result/given label= 0.925586/1
predict case 92 , predict result/given label= 0.750973/1
predict case 93 , predict result/given label= 0.931379/1
predict case 94 , predict result/given label= 0.931282/1
predict case 95 , predict result/given label= 0.783874/1
predict case 96 , predict result/given label= 0.601358/1
predict case 97 , predict result/given label= 0.489670/1
predict case 98 , predict result/given label= 0.930956/1
predict case 99 , predict result/given label= 0.852212/1
predict case 100 , predict result/given label= 0.725955/1
predict case 101 , predict result/given label= 0.924432/1
predict case 102 , predict result/given label= 0.912479/1
predict case 103 , predict result/given label= 0.911444/1
predict case 104 , predict result/given label= 0.905411/1
predict case 105 , predict result/given label= 0.891143/1
predict case 106 , predict result/given label= 0.924438/1
predict case 107 , predict result/given label= 0.433787/1
predict case 108 , predict result/given label= 0.925580/1
predict case 109 , predict result/given label= 0.872921/1
predict case 110 , predict result/given label= 0.260239/1
predict case 111 , predict result/given label= 0.614554/1
predict case 112 , predict result/given label= 0.351971/1
predict case 113 , predict result/given label= 0.741553/1
predict case 114 , predict result/given label= 0.808956/1
predict case 115 , predict result/given label= 0.843207/1
predict case 116 , predict result/given label= 0.650384/1
predict case 117 , predict result/given label= 0.791333/1
predict case 118 , predict result/given label= 0.503186/1
predict case 119 , predict result/given label= 0.289850/1
