predict case 0 , predict result/given label= 0.663081/1
predict case 1 , predict result/given label= 0.213506/1
predict case 2 , predict result/given label= 0.509170/1
predict case 3 , predict result/given label= 0.928596/1
predict case 4 , predict result/given label= 0.337313/1
predict case 5 , predict result/given label= 0.625415/1
predict case 6 , predict result/given label= 0.597696/1
predict case 7 , predict result/given label= 0.206826/1
predict case 8 , predict result/given label= 0.347590/1
predict case 9 , predict result/given label= 0.653916/1
predict case 10 , predict result/given label= 0.938144/1
predict case 11 , predict result/given label= 0.925439/1
predict case 12 , predict result/given label= 0.664166/1
predict case 13 , predict result/given label= 0.369577/1
predict case 14 , predict result/given label= 0.231177/1
predict case 15 , predict result/given label= 0.702861/1
predict case 16 , predict result/given label= 0.852969/1
predict case 17 , predict result/given label= 0.642350/1
predict case 18 , predict result/given label= 0.925656/1
predict case 19 , predict result/given label= 0.901020/1
predict case 20 , predict result/given label= 0.260913/1
predict case 21 , predict result/given label= 0.326776/1
predict case 22 , predict result/given label= 0.276701/1
predict case 23 , predict result/given label= 0.928899/1
predict case 24 , predict result/given label= 0.852224/1
predict case 25 , predict result/given label= 0.221384/1
predict case 26 , predict result/given label= 0.360055/1
predict case 27 , predict result/given label= 0.924808/1
predict case 28 , predict result/given label= 0.446898/1
predict case 29 , predict result/given label= 0.933157/1
predict case 30 , predict result/given label= 0.257824/1
predict case 31 , predict result/given label= 0.559123/1
predict case 32 , predict result/given label= 0.832373/1
predict case 33 , predict result/given label= 0.394647/1
predict case 34 , predict result/given label= 0.937528/1
predict case 35 , predict result/given label= 0.892873/1
predict case 36 , predict result/given label= 0.461759/1
predict case 37 , predict result/given label= 0.780377/1
predict case 38 , predict result/given label= 0.773799/1
predict case 39 , predict result/given label= 0.336086/1
predict case 40 , predict result/given label= 0.706934/1
predict case 41 , predict result/given label= 0.316683/1
predict case 42 , predict result/given label= 0.924684/1
predict case 43 , predict result/given label= 0.927902/1
predict case 44 , predict result/given label= 0.925082/1
predict case 45 , predict result/given label= 0.533056/1
predict case 46 , predict result/given label= 0.936128/1
predict case 47 , predict result/given label= 0.936129/1
predict case 48 , predict result/given label= 0.510850/1
predict case 49 , predict result/given label= 0.709780/1
predict case 50 , predict result/given label= 0.762453/1
predict case 51 , predict result/given label= 0.320109/1
predict case 52 , predict result/given label= 0.262803/1
predict case 53 , predict result/given label= 0.900647/1
predict case 54 , predict result/given label= 0.912236/1
predict case 55 , predict result/given label= 0.792128/1
predict case 56 , predict result/given label= 0.509457/1
predict case 57 , predict result/given label= 0.807904/1
predict case 58 , predict result/given label= 0.867504/1
predict case 59 , predict result/given label= 0.477764/1
predict case 60 , predict result/given label= 0.349456/1
predict case 61 , predict result/given label= 0.783129/1
predict case 62 , predict result/given label= 0.648053/1
predict case 63 , predict result/given label= 0.934977/1
predict case 64 , predict result/given label= 0.927815/1
predict case 65 , predict result/given label= 0.225811/1
predict case 66 , predict result/given label= 0.910222/1
predict case 67 , predict result/given label= 0.930180/1
predict case 68 , predict result/given label= 0.304737/1
predict case 69 , predict result/given label= 0.890404/1
predict case 70 , predict result/given label= 0.388022/1
predict case 71 , predict result/given label= 0.935722/1
predict case 72 , predict result/given label= 0.271934/1
predict case 73 , predict result/given label= 0.929151/1
predict case 74 , predict result/given label= 0.263246/1
predict case 75 , predict result/given label= 0.256273/1
predict case 76 , predict result/given label= 0.397341/1
predict case 77 , predict result/given label= 0.841034/1
predict case 78 , predict result/given label= 0.921926/1
predict case 79 , predict result/given label= 0.590440/1
predict case 80 , predict result/given label= 0.304010/1
predict case 81 , predict result/given label= 0.496930/1
predict case 82 , predict result/given label= 0.851115/1
predict case 83 , predict result/given label= 0.785553/1
predict case 84 , predict result/given label= 0.927629/1
predict case 85 , predict result/given label= 0.924724/1
predict case 86 , predict result/given label= 0.797565/1
predict case 87 , predict result/given label= 0.815566/1
predict case 88 , predict result/given label= 0.904973/1
predict case 89 , predict result/given label= 0.699440/1
predict case 90 , predict result/given label= 0.417952/1
predict case 91 , predict result/given label= 0.832697/1
predict case 92 , predict result/given label= 0.754191/1
predict case 93 , predict result/given label= 0.927072/1
predict case 94 , predict result/given label= 0.739770/1
predict case 95 , predict result/given label= 0.661843/1
predict case 96 , predict result/given label= 0.479365/1
predict case 97 , predict result/given label= 0.260596/1
predict case 98 , predict result/given label= 0.273976/1
predict case 99 , predict result/given label= 0.237507/1
predict case 100 , predict result/given label= 0.330265/1
predict case 101 , predict result/given label= 0.798030/1
predict case 102 , predict result/given label= 0.886827/1
