predict case 0 , predict result/given label= 0.628478/1
predict case 1 , predict result/given label= 0.269688/1
predict case 2 , predict result/given label= 0.929167/1
predict case 3 , predict result/given label= 0.702711/1
predict case 4 , predict result/given label= 0.294898/1
predict case 5 , predict result/given label= 0.737351/1
predict case 6 , predict result/given label= 0.222747/1
predict case 7 , predict result/given label= 0.901423/1
predict case 8 , predict result/given label= 0.824524/1
predict case 9 , predict result/given label= 0.578251/1
predict case 10 , predict result/given label= 0.926153/1
predict case 11 , predict result/given label= 0.931564/1
predict case 12 , predict result/given label= 0.847871/1
predict case 13 , predict result/given label= 0.868520/1
predict case 14 , predict result/given label= 0.408871/1
predict case 15 , predict result/given label= 0.732355/1
predict case 16 , predict result/given label= 0.378784/1
predict case 17 , predict result/given label= 0.929587/1
predict case 18 , predict result/given label= 0.939281/1
predict case 19 , predict result/given label= 0.244915/1
predict case 20 , predict result/given label= 0.917356/1
predict case 21 , predict result/given label= 0.816618/1
predict case 22 , predict result/given label= 0.925557/1
predict case 23 , predict result/given label= 0.581294/1
predict case 24 , predict result/given label= 0.231487/1
predict case 25 , predict result/given label= 0.926399/1
predict case 26 , predict result/given label= 0.910371/1
predict case 27 , predict result/given label= 0.241949/1
predict case 28 , predict result/given label= 0.896636/1
predict case 29 , predict result/given label= 0.269543/1
predict case 30 , predict result/given label= 0.869152/1
predict case 31 , predict result/given label= 0.366431/1
predict case 32 , predict result/given label= 0.399702/1
predict case 33 , predict result/given label= 0.802683/1
predict case 34 , predict result/given label= 0.244053/1
predict case 35 , predict result/given label= 0.318394/1
predict case 36 , predict result/given label= 0.651262/1
predict case 37 , predict result/given label= 0.323298/1
predict case 38 , predict result/given label= 0.260371/1
predict case 39 , predict result/given label= 0.790993/1
predict case 40 , predict result/given label= 0.883993/1
predict case 41 , predict result/given label= 0.925923/1
predict case 42 , predict result/given label= 0.928812/1
predict case 43 , predict result/given label= 0.925498/1
predict case 44 , predict result/given label= 0.927065/1
predict case 45 , predict result/given label= 0.876734/1
predict case 46 , predict result/given label= 0.928686/1
predict case 47 , predict result/given label= 0.925545/1
predict case 48 , predict result/given label= 0.891533/1
predict case 49 , predict result/given label= 0.741846/1
predict case 50 , predict result/given label= 0.181850/1
predict case 51 , predict result/given label= 0.922165/1
predict case 52 , predict result/given label= 0.499230/1
predict case 53 , predict result/given label= 0.554301/1
predict case 54 , predict result/given label= 0.578459/1
predict case 55 , predict result/given label= 0.323298/1
predict case 56 , predict result/given label= 0.194676/1
predict case 57 , predict result/given label= 0.792948/1
predict case 58 , predict result/given label= 0.459558/1
predict case 59 , predict result/given label= 0.332064/1
predict case 60 , predict result/given label= 0.924322/1
predict case 61 , predict result/given label= 0.924887/1
predict case 62 , predict result/given label= 0.933155/1
predict case 63 , predict result/given label= 0.927837/1
predict case 64 , predict result/given label= 0.894894/1
predict case 65 , predict result/given label= 0.860825/1
predict case 66 , predict result/given label= 0.601129/1
predict case 67 , predict result/given label= 0.938612/1
predict case 68 , predict result/given label= 0.560607/1
predict case 69 , predict result/given label= 0.939029/1
predict case 70 , predict result/given label= 0.768654/1
predict case 71 , predict result/given label= 0.906454/1
predict case 72 , predict result/given label= 0.853134/1
predict case 73 , predict result/given label= 0.725029/1
predict case 74 , predict result/given label= 0.356087/1
predict case 75 , predict result/given label= 0.928010/1
predict case 76 , predict result/given label= 0.323298/1
predict case 77 , predict result/given label= 0.237674/1
predict case 78 , predict result/given label= 0.475823/1
predict case 79 , predict result/given label= 0.785163/1
predict case 80 , predict result/given label= 0.927702/1
predict case 81 , predict result/given label= 0.824255/1
predict case 82 , predict result/given label= 0.355202/1
predict case 83 , predict result/given label= 0.928677/1
predict case 84 , predict result/given label= 0.924302/1
predict case 85 , predict result/given label= 0.898242/1
predict case 86 , predict result/given label= 0.743532/1
predict case 87 , predict result/given label= 0.333184/1
predict case 88 , predict result/given label= 0.241384/1
predict case 89 , predict result/given label= 0.709862/1
predict case 90 , predict result/given label= 0.873841/1
predict case 91 , predict result/given label= 0.380366/1
predict case 92 , predict result/given label= 0.582204/1
predict case 93 , predict result/given label= 0.320337/1
predict case 94 , predict result/given label= 0.252095/1
predict case 95 , predict result/given label= 0.758948/1
predict case 96 , predict result/given label= 0.926681/1
predict case 97 , predict result/given label= 0.341629/1
predict case 98 , predict result/given label= 0.284572/1
predict case 99 , predict result/given label= 0.856625/1
predict case 100 , predict result/given label= 0.489252/1
predict case 101 , predict result/given label= 0.341231/1
predict case 102 , predict result/given label= 0.925860/1
predict case 103 , predict result/given label= 0.929263/1
predict case 104 , predict result/given label= 0.502908/1
predict case 105 , predict result/given label= 0.926115/1
predict case 106 , predict result/given label= 0.920252/1
predict case 107 , predict result/given label= 0.708608/1
predict case 108 , predict result/given label= 0.912831/1
predict case 109 , predict result/given label= 0.323298/1
predict case 110 , predict result/given label= 0.498546/1
predict case 111 , predict result/given label= 0.924885/1
predict case 112 , predict result/given label= 0.797990/1
predict case 113 , predict result/given label= 0.901194/1
predict case 114 , predict result/given label= 0.896323/1
predict case 115 , predict result/given label= 0.253289/1
predict case 116 , predict result/given label= 0.718216/1
predict case 117 , predict result/given label= 0.885130/1
predict case 118 , predict result/given label= 0.745633/1
predict case 119 , predict result/given label= 0.924938/1
predict case 120 , predict result/given label= 0.334116/1
predict case 121 , predict result/given label= 0.910880/1
predict case 122 , predict result/given label= 0.874834/1
predict case 123 , predict result/given label= 0.929290/1
predict case 124 , predict result/given label= 0.292678/1
predict case 125 , predict result/given label= 0.360822/1
predict case 126 , predict result/given label= 0.462695/1
predict case 127 , predict result/given label= 0.933654/1
predict case 128 , predict result/given label= 0.394405/1
predict case 129 , predict result/given label= 0.927779/1
predict case 130 , predict result/given label= 0.415547/1
predict case 131 , predict result/given label= 0.928085/1
predict case 132 , predict result/given label= 0.286189/1
predict case 133 , predict result/given label= 0.343067/1
predict case 134 , predict result/given label= 0.928269/1
predict case 135 , predict result/given label= 0.917819/1
predict case 136 , predict result/given label= 0.769756/1
predict case 137 , predict result/given label= 0.926626/1
predict case 138 , predict result/given label= 0.435646/1
predict case 139 , predict result/given label= 0.925725/1
predict case 140 , predict result/given label= 0.873494/1
predict case 141 , predict result/given label= 0.928406/1
predict case 142 , predict result/given label= 0.396909/1
predict case 143 , predict result/given label= 0.641725/1
predict case 144 , predict result/given label= 0.702711/1
predict case 145 , predict result/given label= 0.885292/1
predict case 146 , predict result/given label= 0.631656/1
predict case 147 , predict result/given label= 0.924424/1
predict case 148 , predict result/given label= 0.466054/1
predict case 149 , predict result/given label= 0.905984/1
predict case 150 , predict result/given label= 0.933735/1
predict case 151 , predict result/given label= 0.251809/1
predict case 152 , predict result/given label= 0.804445/1
predict case 153 , predict result/given label= 0.358976/1
predict case 154 , predict result/given label= 0.877981/1
predict case 155 , predict result/given label= 0.269688/1
predict case 156 , predict result/given label= 0.854107/1
