predict case 0 , predict result/given label= 0.413855/1
predict case 1 , predict result/given label= 0.803718/1
predict case 2 , predict result/given label= 0.345770/1
predict case 3 , predict result/given label= 0.422863/1
predict case 4 , predict result/given label= 0.824177/1
predict case 5 , predict result/given label= 0.930961/1
predict case 6 , predict result/given label= 0.574960/1
predict case 7 , predict result/given label= 0.255488/1
predict case 8 , predict result/given label= 0.925439/1
predict case 9 , predict result/given label= 0.245301/1
predict case 10 , predict result/given label= 0.930399/1
predict case 11 , predict result/given label= 0.480183/1
predict case 12 , predict result/given label= 0.885901/1
predict case 13 , predict result/given label= 0.830665/1
predict case 14 , predict result/given label= 0.846110/1
predict case 15 , predict result/given label= 0.278474/1
predict case 16 , predict result/given label= 0.903447/1
predict case 17 , predict result/given label= 0.821240/1
predict case 18 , predict result/given label= 0.925304/1
predict case 19 , predict result/given label= 0.299576/1
predict case 20 , predict result/given label= 0.916685/1
predict case 21 , predict result/given label= 0.422863/1
predict case 22 , predict result/given label= 0.413132/1
predict case 23 , predict result/given label= 0.746489/1
predict case 24 , predict result/given label= 0.913713/1
predict case 25 , predict result/given label= 0.371982/1
predict case 26 , predict result/given label= 0.830019/1
predict case 27 , predict result/given label= 0.211879/1
predict case 28 , predict result/given label= 0.810542/1
predict case 29 , predict result/given label= 0.224381/1
predict case 30 , predict result/given label= 0.278679/1
predict case 31 , predict result/given label= 0.912976/1
predict case 32 , predict result/given label= 0.806800/1
predict case 33 , predict result/given label= 0.888625/1
predict case 34 , predict result/given label= 0.869340/1
predict case 35 , predict result/given label= 0.925476/1
predict case 36 , predict result/given label= 0.290815/1
predict case 37 , predict result/given label= 0.385994/1
predict case 38 , predict result/given label= 0.901957/1
predict case 39 , predict result/given label= 0.892273/1
predict case 40 , predict result/given label= 0.929317/1
predict case 41 , predict result/given label= 0.715981/1
predict case 42 , predict result/given label= 0.905113/1
predict case 43 , predict result/given label= 0.636059/1
predict case 44 , predict result/given label= 0.748915/1
predict case 45 , predict result/given label= 0.804691/1
predict case 46 , predict result/given label= 0.783469/1
predict case 47 , predict result/given label= 0.286250/1
predict case 48 , predict result/given label= 0.922799/1
predict case 49 , predict result/given label= 0.334180/1
predict case 50 , predict result/given label= 0.272887/1
predict case 51 , predict result/given label= 0.862590/1
predict case 52 , predict result/given label= 0.268048/1
predict case 53 , predict result/given label= 0.187265/1
predict case 54 , predict result/given label= 0.779562/1
predict case 55 , predict result/given label= 0.471619/1
predict case 56 , predict result/given label= 0.505524/1
