predict case 0 , predict result/given label= 0.361800/1
predict case 1 , predict result/given label= 0.288056/1
predict case 2 , predict result/given label= 0.504449/1
predict case 3 , predict result/given label= 0.391854/1
predict case 4 , predict result/given label= 0.535992/1
predict case 5 , predict result/given label= 0.741980/1
predict case 6 , predict result/given label= 0.577810/1
predict case 7 , predict result/given label= 0.073462/1
predict case 8 , predict result/given label= 0.352820/1
predict case 9 , predict result/given label= 0.471392/1
predict case 10 , predict result/given label= 0.598155/1
predict case 11 , predict result/given label= 0.799579/1
predict case 12 , predict result/given label= 0.430318/1
predict case 13 , predict result/given label= 0.523255/1
predict case 14 , predict result/given label= 0.436115/1
predict case 15 , predict result/given label= 0.374433/1
predict case 16 , predict result/given label= 0.621445/1
predict case 17 , predict result/given label= 0.597752/1
predict case 18 , predict result/given label= 0.239906/1
predict case 19 , predict result/given label= 0.367006/1
predict case 20 , predict result/given label= 0.603692/1
predict case 21 , predict result/given label= 0.422947/1
predict case 22 , predict result/given label= 0.285142/1
predict case 23 , predict result/given label= 0.570893/1
predict case 24 , predict result/given label= 0.478537/1
predict case 25 , predict result/given label= 0.639588/1
predict case 26 , predict result/given label= 0.756315/1
predict case 27 , predict result/given label= 0.479988/1
predict case 28 , predict result/given label= 0.233153/1
predict case 29 , predict result/given label= 0.522305/1
predict case 30 , predict result/given label= 0.657896/1
predict case 31 , predict result/given label= 0.582347/1
predict case 32 , predict result/given label= 0.249158/1
predict case 33 , predict result/given label= 0.132121/1
predict case 34 , predict result/given label= 0.725280/1
predict case 35 , predict result/given label= 0.413459/1
predict case 36 , predict result/given label= 0.606520/1
predict case 37 , predict result/given label= 0.752905/1
predict case 38 , predict result/given label= 0.514391/1
predict case 39 , predict result/given label= 0.348785/1
predict case 40 , predict result/given label= 0.703747/1
predict case 41 , predict result/given label= 0.657131/1
predict case 42 , predict result/given label= 0.759591/1
predict case 43 , predict result/given label= 0.479631/1
predict case 44 , predict result/given label= 0.387708/1
predict case 45 , predict result/given label= 0.816509/1
predict case 46 , predict result/given label= 0.569493/1
predict case 47 , predict result/given label= 0.426355/1
predict case 48 , predict result/given label= 0.407543/1
predict case 49 , predict result/given label= 0.329763/1
predict case 50 , predict result/given label= 0.306223/1
predict case 51 , predict result/given label= 0.561667/1
predict case 52 , predict result/given label= 0.411651/1
predict case 53 , predict result/given label= 0.524949/1
predict case 54 , predict result/given label= 0.697945/1
predict case 55 , predict result/given label= 0.269723/1
predict case 56 , predict result/given label= 0.566849/1
predict case 57 , predict result/given label= 0.347899/1
predict case 58 , predict result/given label= 0.494314/1
predict case 59 , predict result/given label= 0.327280/1
predict case 60 , predict result/given label= 0.342593/1
predict case 61 , predict result/given label= 0.446022/1
predict case 62 , predict result/given label= 0.197570/1
predict case 63 , predict result/given label= 0.824101/1
predict case 64 , predict result/given label= 0.645868/1
predict case 65 , predict result/given label= 0.796913/1
predict case 66 , predict result/given label= 0.457610/1
predict case 67 , predict result/given label= 0.451905/1
predict case 68 , predict result/given label= 0.570542/1
predict case 69 , predict result/given label= 0.717038/1
predict case 70 , predict result/given label= 0.464037/1
predict case 71 , predict result/given label= 0.112382/1
predict case 72 , predict result/given label= 0.078506/1
predict case 73 , predict result/given label= 0.353450/1
predict case 74 , predict result/given label= 0.817857/1
predict case 75 , predict result/given label= 0.763587/1
predict case 76 , predict result/given label= 0.292335/1
predict case 77 , predict result/given label= 0.598964/1
predict case 78 , predict result/given label= 0.344639/1
predict case 79 , predict result/given label= 0.463706/1
predict case 80 , predict result/given label= 0.717606/1
predict case 81 , predict result/given label= 0.712312/1
predict case 82 , predict result/given label= 0.603835/1
predict case 83 , predict result/given label= 0.412486/1
predict case 84 , predict result/given label= 0.637599/1
predict case 85 , predict result/given label= 0.427660/1
predict case 86 , predict result/given label= 0.427733/1
predict case 87 , predict result/given label= 0.464741/1
predict case 88 , predict result/given label= 0.417855/1
predict case 89 , predict result/given label= 0.451955/1
predict case 90 , predict result/given label= 0.401912/1
predict case 91 , predict result/given label= 0.494472/1
predict case 92 , predict result/given label= 0.625738/1
predict case 93 , predict result/given label= 0.642712/1
predict case 94 , predict result/given label= 0.103040/1
predict case 95 , predict result/given label= 0.748639/1
predict case 96 , predict result/given label= 0.550922/1
predict case 97 , predict result/given label= 0.531803/1
predict case 98 , predict result/given label= 0.223065/1
predict case 99 , predict result/given label= 0.413880/1
predict case 100 , predict result/given label= 0.835232/1
predict case 101 , predict result/given label= 0.316121/1
predict case 102 , predict result/given label= 0.490360/1
predict case 103 , predict result/given label= 0.542656/1
predict case 104 , predict result/given label= 0.271374/1
predict case 105 , predict result/given label= 0.231105/1
predict case 106 , predict result/given label= 0.514250/1
predict case 107 , predict result/given label= 0.248683/1
predict case 108 , predict result/given label= 0.453369/1
predict case 109 , predict result/given label= 0.457445/1
predict case 110 , predict result/given label= 0.524293/1
predict case 111 , predict result/given label= 0.478271/1
predict case 112 , predict result/given label= 0.817664/1
predict case 113 , predict result/given label= 0.174341/1
predict case 114 , predict result/given label= 0.642624/1
predict case 115 , predict result/given label= 0.382645/1
predict case 116 , predict result/given label= 0.450519/1
predict case 117 , predict result/given label= 0.253759/1
predict case 118 , predict result/given label= 0.361054/1
predict case 119 , predict result/given label= 0.483027/1
predict case 120 , predict result/given label= 0.584003/1
predict case 121 , predict result/given label= 0.495259/1
predict case 122 , predict result/given label= 0.157101/1
predict case 123 , predict result/given label= 0.806731/1
predict case 124 , predict result/given label= 0.703947/1
predict case 125 , predict result/given label= 0.568747/1
predict case 126 , predict result/given label= 0.172625/1
predict case 127 , predict result/given label= 0.480100/1
predict case 128 , predict result/given label= 0.167081/1
predict case 129 , predict result/given label= 0.359099/1
predict case 130 , predict result/given label= 0.526050/1
predict case 131 , predict result/given label= 0.644591/1
predict case 132 , predict result/given label= 0.556588/1
predict case 133 , predict result/given label= 0.423179/1
predict case 134 , predict result/given label= 0.431161/1
predict case 135 , predict result/given label= 0.397836/1
predict case 136 , predict result/given label= 0.410646/1
predict case 137 , predict result/given label= 0.209090/1
predict case 138 , predict result/given label= 0.315406/1
predict case 139 , predict result/given label= 0.098226/1
predict case 140 , predict result/given label= 0.370557/1
predict case 141 , predict result/given label= 0.599939/1
predict case 142 , predict result/given label= 0.754883/1
predict case 143 , predict result/given label= 0.162069/1
predict case 144 , predict result/given label= 0.397352/1
predict case 145 , predict result/given label= 0.862660/1
predict case 146 , predict result/given label= 0.521559/1
predict case 147 , predict result/given label= 0.848042/1
predict case 148 , predict result/given label= 0.256510/1
predict case 149 , predict result/given label= 0.334830/1
predict case 150 , predict result/given label= 0.235326/1
predict case 151 , predict result/given label= 0.786572/1
predict case 152 , predict result/given label= 0.570232/1
predict case 153 , predict result/given label= 0.211259/1
predict case 154 , predict result/given label= 0.213369/1
predict case 155 , predict result/given label= 0.495732/1
predict case 156 , predict result/given label= 0.520828/1
predict case 157 , predict result/given label= 0.337620/1
predict case 158 , predict result/given label= 0.485824/1
predict case 159 , predict result/given label= 0.434548/1
predict case 160 , predict result/given label= 0.559698/1
predict case 161 , predict result/given label= 0.269742/1
predict case 162 , predict result/given label= 0.382771/1
predict case 163 , predict result/given label= 0.488559/1
predict case 164 , predict result/given label= 0.470362/1
predict case 165 , predict result/given label= 0.396872/1
predict case 166 , predict result/given label= 0.298472/1
predict case 167 , predict result/given label= 0.623801/1
predict case 168 , predict result/given label= 0.610273/1
predict case 169 , predict result/given label= 0.536082/1
predict case 170 , predict result/given label= 0.203067/1
predict case 171 , predict result/given label= 0.557811/1
predict case 172 , predict result/given label= 0.361159/1
predict case 173 , predict result/given label= 0.805981/1
predict case 174 , predict result/given label= 0.443378/1
predict case 175 , predict result/given label= 0.532382/1
predict case 176 , predict result/given label= 0.223368/1
predict case 177 , predict result/given label= 0.276502/1
predict case 178 , predict result/given label= 0.735258/1
predict case 179 , predict result/given label= 0.320129/1
predict case 180 , predict result/given label= 0.353739/1
predict case 181 , predict result/given label= 0.433480/1
predict case 182 , predict result/given label= 0.177224/1
predict case 183 , predict result/given label= 0.636355/1
predict case 184 , predict result/given label= 0.467250/1
predict case 185 , predict result/given label= 0.370833/1
predict case 186 , predict result/given label= 0.788525/1
predict case 187 , predict result/given label= 0.390319/1
predict case 188 , predict result/given label= 0.411013/1
predict case 189 , predict result/given label= 0.550267/1
predict case 190 , predict result/given label= 0.117745/1
predict case 191 , predict result/given label= 0.592203/1
predict case 192 , predict result/given label= 0.640578/1
predict case 193 , predict result/given label= 0.569053/1
predict case 194 , predict result/given label= 0.402277/1
predict case 195 , predict result/given label= 0.743041/1
predict case 196 , predict result/given label= 0.218002/1
predict case 197 , predict result/given label= 0.452558/1
predict case 198 , predict result/given label= 0.757832/1
predict case 199 , predict result/given label= 0.106095/1
predict case 200 , predict result/given label= 0.636995/1
predict case 201 , predict result/given label= 0.812987/1
predict case 202 , predict result/given label= 0.854828/1
predict case 203 , predict result/given label= 0.625686/1
predict case 204 , predict result/given label= 0.195983/1
predict case 205 , predict result/given label= 0.202488/1
predict case 206 , predict result/given label= 0.785125/1
predict case 207 , predict result/given label= 0.497270/1
predict case 208 , predict result/given label= 0.415807/1
predict case 209 , predict result/given label= 0.495374/1
predict case 210 , predict result/given label= 0.445463/1
