predict case 0 , predict result/given label= 0.608709/1
predict case 1 , predict result/given label= 0.454849/1
predict case 2 , predict result/given label= 0.118658/1
predict case 3 , predict result/given label= 0.596399/1
predict case 4 , predict result/given label= 0.653024/1
predict case 5 , predict result/given label= 0.849762/1
predict case 6 , predict result/given label= 0.842326/1
predict case 7 , predict result/given label= 0.528307/1
predict case 8 , predict result/given label= 0.515559/1
predict case 9 , predict result/given label= 0.382261/1
predict case 10 , predict result/given label= 0.770834/1
predict case 11 , predict result/given label= 0.540835/1
predict case 12 , predict result/given label= 0.679578/1
predict case 13 , predict result/given label= 0.570187/1
predict case 14 , predict result/given label= 0.758925/1
predict case 15 , predict result/given label= 0.315895/1
predict case 16 , predict result/given label= 0.903137/1
predict case 17 , predict result/given label= 0.206382/1
predict case 18 , predict result/given label= 0.497487/1
predict case 19 , predict result/given label= 0.614935/1
predict case 20 , predict result/given label= 0.475491/1
predict case 21 , predict result/given label= 0.364637/1
predict case 22 , predict result/given label= 0.925148/1
predict case 23 , predict result/given label= 0.231521/1
predict case 24 , predict result/given label= 0.886310/1
predict case 25 , predict result/given label= 0.502723/1
predict case 26 , predict result/given label= 0.446928/1
predict case 27 , predict result/given label= 0.759979/1
predict case 28 , predict result/given label= 0.480461/1
predict case 29 , predict result/given label= 0.846304/1
predict case 30 , predict result/given label= 0.916028/1
predict case 31 , predict result/given label= 0.799532/1
predict case 32 , predict result/given label= 0.257246/1
predict case 33 , predict result/given label= 0.304980/1
predict case 34 , predict result/given label= 0.461717/1
predict case 35 , predict result/given label= 0.392631/1
predict case 36 , predict result/given label= 0.764200/1
predict case 37 , predict result/given label= 0.422490/1
predict case 38 , predict result/given label= 0.418960/1
predict case 39 , predict result/given label= 0.468124/1
predict case 40 , predict result/given label= 0.831817/1
predict case 41 , predict result/given label= 0.460430/1
predict case 42 , predict result/given label= 0.425049/1
predict case 43 , predict result/given label= 0.380757/1
predict case 44 , predict result/given label= 0.567764/1
predict case 45 , predict result/given label= 0.891359/1
predict case 46 , predict result/given label= 0.365668/1
predict case 47 , predict result/given label= 0.431846/1
predict case 48 , predict result/given label= 0.510053/1
predict case 49 , predict result/given label= 0.471260/1
predict case 50 , predict result/given label= 0.695585/1
predict case 51 , predict result/given label= 0.376466/1
predict case 52 , predict result/given label= 0.379723/1
predict case 53 , predict result/given label= 0.852919/1
