predict case 0 , predict result/given label= 0.360352/1
predict case 1 , predict result/given label= 0.707264/1
predict case 2 , predict result/given label= 0.470996/1
predict case 3 , predict result/given label= 0.771089/1
predict case 4 , predict result/given label= 0.193519/1
predict case 5 , predict result/given label= 0.683890/1
predict case 6 , predict result/given label= 0.632219/1
predict case 7 , predict result/given label= 0.240487/1
predict case 8 , predict result/given label= 0.616970/1
predict case 9 , predict result/given label= 0.660094/1
predict case 10 , predict result/given label= 0.393604/1
predict case 11 , predict result/given label= 0.441135/1
predict case 12 , predict result/given label= 0.731734/1
predict case 13 , predict result/given label= 0.723928/1
predict case 14 , predict result/given label= 0.716318/1
predict case 15 , predict result/given label= 0.739610/1
predict case 16 , predict result/given label= 0.383620/1
predict case 17 , predict result/given label= 0.762959/1
predict case 18 , predict result/given label= 0.425432/1
predict case 19 , predict result/given label= 0.622021/1
predict case 20 , predict result/given label= 0.491672/1
predict case 21 , predict result/given label= 0.610119/1
predict case 22 , predict result/given label= 0.529214/1
predict case 23 , predict result/given label= 0.527993/1
predict case 24 , predict result/given label= 0.633984/1
predict case 25 , predict result/given label= 0.258901/1
predict case 26 , predict result/given label= 0.703487/1
predict case 27 , predict result/given label= 0.655654/1
predict case 28 , predict result/given label= 0.311753/1
predict case 29 , predict result/given label= 0.593579/1
predict case 30 , predict result/given label= 0.348192/1
predict case 31 , predict result/given label= 0.601909/1
predict case 32 , predict result/given label= 0.722643/1
predict case 33 , predict result/given label= 0.707521/1
predict case 34 , predict result/given label= 0.555449/1
predict case 35 , predict result/given label= 0.617215/1
predict case 36 , predict result/given label= 0.645854/1
predict case 37 , predict result/given label= 0.631565/1
predict case 38 , predict result/given label= 0.364266/1
predict case 39 , predict result/given label= 0.731491/1
predict case 40 , predict result/given label= 0.489404/1
predict case 41 , predict result/given label= 0.411053/1
predict case 42 , predict result/given label= 0.581528/1
predict case 43 , predict result/given label= 0.878078/1
predict case 44 , predict result/given label= 0.256467/1
predict case 45 , predict result/given label= 0.479965/1
predict case 46 , predict result/given label= 0.734132/1
predict case 47 , predict result/given label= 0.526971/1
predict case 48 , predict result/given label= 0.317025/1
predict case 49 , predict result/given label= 0.228112/1
predict case 50 , predict result/given label= 0.723815/1
predict case 51 , predict result/given label= 0.365420/1
predict case 52 , predict result/given label= 0.378849/1
predict case 53 , predict result/given label= 0.707131/1
predict case 54 , predict result/given label= 0.471036/1
predict case 55 , predict result/given label= 0.432400/1
predict case 56 , predict result/given label= 0.705799/1
predict case 57 , predict result/given label= 0.276206/1
predict case 58 , predict result/given label= 0.415216/1
predict case 59 , predict result/given label= 0.772429/1
predict case 60 , predict result/given label= 0.469504/1
predict case 61 , predict result/given label= 0.615556/1
predict case 62 , predict result/given label= 0.473311/1
predict case 63 , predict result/given label= 0.754053/1
predict case 64 , predict result/given label= 0.443845/1
predict case 65 , predict result/given label= 0.628931/1
predict case 66 , predict result/given label= 0.716352/1
predict case 67 , predict result/given label= 0.579975/1
predict case 68 , predict result/given label= 0.478354/1
predict case 69 , predict result/given label= 0.477204/1
predict case 70 , predict result/given label= 0.549084/1
predict case 71 , predict result/given label= 0.525107/1
predict case 72 , predict result/given label= 0.520120/1
predict case 73 , predict result/given label= 0.607674/1
predict case 74 , predict result/given label= 0.632726/1
predict case 75 , predict result/given label= 0.769551/1
predict case 76 , predict result/given label= 0.274873/1
predict case 77 , predict result/given label= 0.787782/1
predict case 78 , predict result/given label= 0.476831/1
predict case 79 , predict result/given label= 0.762966/1
predict case 80 , predict result/given label= 0.381967/1
predict case 81 , predict result/given label= 0.383265/1
predict case 82 , predict result/given label= 0.350093/1
predict case 83 , predict result/given label= 0.755560/1
predict case 84 , predict result/given label= 0.457679/1
predict case 85 , predict result/given label= 0.707145/1
predict case 86 , predict result/given label= 0.371777/1
predict case 87 , predict result/given label= 0.545635/1
predict case 88 , predict result/given label= 0.511940/0
predict case 89 , predict result/given label= 0.231618/0
predict case 90 , predict result/given label= 0.467477/0
predict case 91 , predict result/given label= 0.441969/0
predict case 92 , predict result/given label= 0.489250/0
