predict case 0 , predict result/given label= 0.201852/1
predict case 1 , predict result/given label= 0.251233/1
predict case 2 , predict result/given label= 0.668004/1
predict case 3 , predict result/given label= 0.219286/1
predict case 4 , predict result/given label= 0.540828/1
predict case 5 , predict result/given label= 0.464443/1
predict case 6 , predict result/given label= 0.510037/1
predict case 7 , predict result/given label= 0.191526/1
predict case 8 , predict result/given label= 0.472121/1
predict case 9 , predict result/given label= 0.175309/1
predict case 10 , predict result/given label= 0.379133/1
predict case 11 , predict result/given label= 0.180322/1
predict case 12 , predict result/given label= 0.227764/1
predict case 13 , predict result/given label= 0.929577/1
predict case 14 , predict result/given label= 0.865912/1
predict case 15 , predict result/given label= 0.540892/1
predict case 16 , predict result/given label= 0.245838/1
predict case 17 , predict result/given label= 0.526705/1
predict case 18 , predict result/given label= 0.067715/1
predict case 19 , predict result/given label= 0.414309/1
predict case 20 , predict result/given label= 0.785955/1
predict case 21 , predict result/given label= 0.511775/1
predict case 22 , predict result/given label= 0.526047/1
predict case 23 , predict result/given label= 0.636943/1
predict case 24 , predict result/given label= 0.235514/1
predict case 25 , predict result/given label= 0.171641/1
predict case 26 , predict result/given label= 0.313313/1
predict case 27 , predict result/given label= 0.399578/1
predict case 28 , predict result/given label= 0.355876/1
predict case 29 , predict result/given label= 0.198671/1
predict case 30 , predict result/given label= 0.732342/1
predict case 31 , predict result/given label= 0.498854/1
predict case 32 , predict result/given label= 0.485771/1
predict case 33 , predict result/given label= 0.331138/1
predict case 34 , predict result/given label= 0.743836/1
predict case 35 , predict result/given label= 0.101880/1
predict case 36 , predict result/given label= 0.171880/1
predict case 37 , predict result/given label= 0.599973/1
predict case 38 , predict result/given label= 0.072776/1
predict case 39 , predict result/given label= 0.141024/1
predict case 40 , predict result/given label= 0.120870/1
predict case 41 , predict result/given label= 0.265527/1
predict case 42 , predict result/given label= 0.230464/1
predict case 43 , predict result/given label= 0.695204/1
predict case 44 , predict result/given label= 0.220894/1
predict case 45 , predict result/given label= 0.168263/1
predict case 46 , predict result/given label= 0.667789/1
predict case 47 , predict result/given label= 0.847567/1
predict case 48 , predict result/given label= 0.809127/1
predict case 49 , predict result/given label= 0.786540/1
predict case 50 , predict result/given label= 0.374815/1
predict case 51 , predict result/given label= 0.107111/1
predict case 52 , predict result/given label= 0.072152/1
predict case 53 , predict result/given label= 0.714822/1
predict case 54 , predict result/given label= 0.759765/1
predict case 55 , predict result/given label= 0.074271/1
predict case 56 , predict result/given label= 0.337146/1
predict case 57 , predict result/given label= 0.369887/1
predict case 58 , predict result/given label= 0.073869/1
predict case 59 , predict result/given label= 0.486404/1
predict case 60 , predict result/given label= 0.133843/1
predict case 61 , predict result/given label= 0.674726/1
predict case 62 , predict result/given label= 0.309184/1
predict case 63 , predict result/given label= 0.230016/1
predict case 64 , predict result/given label= 0.196527/1
predict case 65 , predict result/given label= 0.739714/1
predict case 66 , predict result/given label= 0.126586/1
predict case 67 , predict result/given label= 0.066569/1
predict case 68 , predict result/given label= 0.314543/1
predict case 69 , predict result/given label= 0.325611/1
predict case 70 , predict result/given label= 0.816494/1
predict case 71 , predict result/given label= 0.926269/1
predict case 72 , predict result/given label= 0.229934/1
predict case 73 , predict result/given label= 0.079843/1
predict case 74 , predict result/given label= 0.279651/1
predict case 75 , predict result/given label= 0.154495/1
predict case 76 , predict result/given label= 0.133521/1
predict case 77 , predict result/given label= 0.100478/1
predict case 78 , predict result/given label= 0.827597/1
predict case 79 , predict result/given label= 0.398181/1
predict case 80 , predict result/given label= 0.574036/1
predict case 81 , predict result/given label= 0.839410/1
predict case 82 , predict result/given label= 0.379884/1
predict case 83 , predict result/given label= 0.187092/1
predict case 84 , predict result/given label= 0.373631/1
predict case 85 , predict result/given label= 0.073109/1
predict case 86 , predict result/given label= 0.237604/1
predict case 87 , predict result/given label= 0.406872/1
predict case 88 , predict result/given label= 0.092849/1
predict case 89 , predict result/given label= 0.300634/1
predict case 90 , predict result/given label= 0.865648/1
predict case 91 , predict result/given label= 0.073947/1
predict case 92 , predict result/given label= 0.072549/1
predict case 93 , predict result/given label= 0.501204/1
predict case 94 , predict result/given label= 0.105045/1
predict case 95 , predict result/given label= 0.244785/1
predict case 96 , predict result/given label= 0.409536/1
predict case 97 , predict result/given label= 0.395242/1
predict case 98 , predict result/given label= 0.299742/1
predict case 99 , predict result/given label= 0.467163/1
predict case 100 , predict result/given label= 0.226500/1
predict case 101 , predict result/given label= 0.077391/1
predict case 102 , predict result/given label= 0.574660/1
predict case 103 , predict result/given label= 0.149323/1
predict case 104 , predict result/given label= 0.363686/1
predict case 105 , predict result/given label= 0.229960/1
predict case 106 , predict result/given label= 0.349117/1
predict case 107 , predict result/given label= 0.209188/1
predict case 108 , predict result/given label= 0.197392/1
predict case 109 , predict result/given label= 0.534510/1
predict case 110 , predict result/given label= 0.276073/1
predict case 111 , predict result/given label= 0.821897/1
predict case 112 , predict result/given label= 0.251932/1
predict case 113 , predict result/given label= 0.219014/1
predict case 114 , predict result/given label= 0.229605/1
predict case 115 , predict result/given label= 0.065950/1
predict case 116 , predict result/given label= 0.212645/1
predict case 117 , predict result/given label= 0.844918/1
predict case 118 , predict result/given label= 0.169977/1
predict case 119 , predict result/given label= 0.189800/1
