predict case 0 , predict result/given label= 0.070421/1
predict case 1 , predict result/given label= 0.061715/1
predict case 2 , predict result/given label= 0.069173/1
predict case 3 , predict result/given label= 0.073519/1
predict case 4 , predict result/given label= 0.267076/1
predict case 5 , predict result/given label= 0.070421/1
predict case 6 , predict result/given label= 0.068129/1
predict case 7 , predict result/given label= 0.602841/1
predict case 8 , predict result/given label= 0.778996/1
predict case 9 , predict result/given label= 0.781098/1
predict case 10 , predict result/given label= 0.533692/1
predict case 11 , predict result/given label= 0.067126/1
predict case 12 , predict result/given label= 0.074376/1
predict case 13 , predict result/given label= 0.678033/1
predict case 14 , predict result/given label= 0.719681/1
predict case 15 , predict result/given label= 0.237393/1
predict case 16 , predict result/given label= 0.274009/1
predict case 17 , predict result/given label= 0.073176/1
predict case 18 , predict result/given label= 0.869850/1
predict case 19 , predict result/given label= 0.071017/1
predict case 20 , predict result/given label= 0.896306/1
predict case 21 , predict result/given label= 0.286727/1
predict case 22 , predict result/given label= 0.165430/1
predict case 23 , predict result/given label= 0.261887/1
predict case 24 , predict result/given label= 0.425617/1
predict case 25 , predict result/given label= 0.723417/1
predict case 26 , predict result/given label= 0.063779/1
predict case 27 , predict result/given label= 0.425617/1
predict case 28 , predict result/given label= 0.215505/1
predict case 29 , predict result/given label= 0.302634/1
predict case 30 , predict result/given label= 0.061715/1
predict case 31 , predict result/given label= 0.061715/1
predict case 32 , predict result/given label= 0.063562/1
predict case 33 , predict result/given label= 0.168281/1
predict case 34 , predict result/given label= 0.058257/1
predict case 35 , predict result/given label= 0.069253/1
predict case 36 , predict result/given label= 0.405408/1
predict case 37 , predict result/given label= 0.867723/1
predict case 38 , predict result/given label= 0.074326/1
predict case 39 , predict result/given label= 0.778996/1
predict case 40 , predict result/given label= 0.249395/1
predict case 41 , predict result/given label= 0.336170/1
predict case 42 , predict result/given label= 0.781098/1
predict case 43 , predict result/given label= 0.065567/1
predict case 44 , predict result/given label= 0.095238/1
predict case 45 , predict result/given label= 0.065567/1
predict case 46 , predict result/given label= 0.098898/1
predict case 47 , predict result/given label= 0.067126/1
predict case 48 , predict result/given label= 0.067041/1
predict case 49 , predict result/given label= 0.061716/1
predict case 50 , predict result/given label= 0.073519/1
predict case 51 , predict result/given label= 0.127996/1
predict case 52 , predict result/given label= 0.274009/1
predict case 53 , predict result/given label= 0.492988/1
predict case 54 , predict result/given label= 0.275612/1
predict case 55 , predict result/given label= 0.069173/1
predict case 56 , predict result/given label= 0.136190/1
predict case 57 , predict result/given label= 0.602841/1
predict case 58 , predict result/given label= 0.070937/1
predict case 59 , predict result/given label= 0.602841/1
predict case 60 , predict result/given label= 0.869850/1
predict case 61 , predict result/given label= 0.154739/1
predict case 62 , predict result/given label= 0.063853/1
predict case 63 , predict result/given label= 0.112324/1
predict case 64 , predict result/given label= 0.914659/1
predict case 65 , predict result/given label= 0.244390/1
predict case 66 , predict result/given label= 0.533692/1
predict case 67 , predict result/given label= 0.064908/1
predict case 68 , predict result/given label= 0.787452/1
predict case 69 , predict result/given label= 0.441970/1
predict case 70 , predict result/given label= 0.719681/1
predict case 71 , predict result/given label= 0.245951/1
predict case 72 , predict result/given label= 0.869850/1
predict case 73 , predict result/given label= 0.533692/1
predict case 74 , predict result/given label= 0.063562/1
predict case 75 , predict result/given label= 0.095238/1
predict case 76 , predict result/given label= 0.874680/1
predict case 77 , predict result/given label= 0.690302/1
predict case 78 , predict result/given label= 0.100353/1
predict case 79 , predict result/given label= 0.514044/1
predict case 80 , predict result/given label= 0.557649/1
predict case 81 , predict result/given label= 0.112324/1
predict case 82 , predict result/given label= 0.054611/1
predict case 83 , predict result/given label= 0.207190/1
